,t,q,w,dw,u,I
0,30075088,0.00000,0.00000,0.00000,0,0.04820
0,30084096,0.00000,0.00000,0.00000,0,0.04830
0,30093096,0.00000,0.00000,0.00000,0,0.04810
0,30102096,0.00000,0.00000,0.00000,0,0.04820
0,30111096,0.00000,0.00000,0.00000,1,0.04800
0,30120096,0.00000,0.00000,0.00000,1,0.04830
0,30129096,0.00000,0.00000,0.00000,2,0.04840
0,30138096,0.00000,0.00000,0.00000,3,0.04890
0,30147096,0.00000,0.00000,0.00000,5,0.04920
0,30156096,0.00000,0.00000,0.00000,6,0.05000
0,30165100,0.00000,0.00000,0.00000,7,0.05090
0,30174096,0.00000,0.00000,0.00000,9,0.05390
0,30183096,0.00000,0.00000,0.00000,11,0.05770
0,30192100,0.00532,0.23662,10.51535,12,0.06050
0,30201096,0.00532,0.14197,2.10026,14,0.06290
0,30210096,0.01597,0.55843,19.76717,16,0.06550
0,30219096,0.02130,0.57173,12.45162,19,0.06550
0,30228096,0.03727,1.05298,28.85993,21,0.06730
0,30237096,0.05325,1.34173,30.14933,23,0.07440
0,30246096,0.07454,1.75163,36.30731,26,0.07340
0,30255096,0.10117,2.23409,43.22446,28,0.08170
0,30264096,0.12779,2.52382,38.81324,31,0.08210
0,30273096,0.16506,3.17083,52.04378,33,0.09400
0,30282096,0.20233,3.55903,48.47979,36,0.09420
0,30291096,0.24493,4.02860,49.95762,39,0.09520
0,30300096,0.29285,4.54699,53.01412,42,0.10360
0,30309096,0.34610,5.09467,56.14993,44,0.10690
0,30318096,0.40467,5.65993,58.81252,47,0.11490
0,30327096,0.46856,6.23573,60.87866,50,0.12250
0,30336096,0.53778,6.81786,62.39966,53,0.12830
0,30345096,0.61765,7.64043,73.99850,56,0.14040
0,30354096,0.69752,8.13398,66.33435,59,0.14680
0,30363096,0.78271,8.66675,63.47945,61,0.15170
0,30372097,0.87323,9.22307,62.81276,64,0.15590
0,30381096,0.97440,10.03015,73.55793,67,0.16300
0,30391096,1.08621,10.49073,62.55811,70,0.15850
0,30401096,1.21400,11.40603,74.14696,72,0.17340
0,30411096,1.34179,11.95470,66.43277,75,0.17030
0,30421096,1.48023,12.71093,70.11190,78,0.17060
0,30431096,1.62400,13.37711,68.71410,80,0.18260
0,30441096,1.77308,13.98979,65.73560,83,0.18570
0,30451100,1.93282,14.78081,71.06971,85,0.19090
0,30461100,2.09256,15.25798,61.72844,87,0.18990
0,30471100,2.26294,15.97025,65.52797,89,0.18390
0,30481100,2.43866,16.61059,64.93030,91,0.18640
0,30491100,2.61969,17.20778,62.84604,93,0.19690
0,30501100,2.80605,17.77982,60.59138,94,0.19220
0,30511100,2.99774,18.33298,58.47466,96,0.18190
0,30521100,3.18942,18.66948,48.54869,97,0.18460
0,30531096,3.38643,19.08364,45.69884,98,0.18140
0,30541096,3.58876,19.54353,45.81507,98,0.17260
0,30551096,3.79642,20.03246,47.04623,99,0.17250
0,30561096,4.00408,20.32582,39.96206,99,0.16510
0,30571096,4.21706,20.71482,39.53716,99,0.16350
0,30581096,4.43005,20.94821,33.05823,99,0.15620
0,30591100,4.64836,21.29948,33.88288,99,0.15010
0,30601100,4.86666,21.51199,28.83002,99,0.14590
0,30611100,5.08497,21.63864,22.36350,98,0.12970
0,30621096,5.30328,21.71810,16.59761,97,0.11910
0,30631100,5.51626,21.54848,3.17518,96,0.11580
0,30640100,5.71327,21.68408,7.93081,95,0.11300
0,30649100,5.91028,21.76738,8.46119,94,0.11020
0,30658100,6.10729,21.81546,7.21322,93,0.09570
0,30667100,6.29897,21.60952,-4.82582,91,0.09320
0,30677100,6.51196,21.48421,-7.90758,90,0.09150
0,30687100,6.72494,21.40812,-7.78715,88,0.08060
0,30697100,6.93260,21.15123,-14.94825,86,0.07400
0,30707096,7.13493,20.78812,-23.50037,83,0.07150
0,30717096,7.33727,20.56704,-22.94441,81,0.06770
0,30727096,7.53428,20.22061,-27.62399,78,0.06370
0,30737096,7.73128,20.01273,-24.88952,76,0.05850
0,30747096,7.92297,19.67505,-28.44102,73,0.05130
0,30757096,8.10401,19.04647,-42.20774,70,0.04430
0,30767096,8.28504,18.66928,-40.41200,67,0.04640
0,30777096,8.46075,18.23000,-41.81861,64,0.04310
0,30787096,8.63114,17.75349,-44.15146,61,0.03690
0,30797096,8.79620,17.25453,-46.44914,58,0.03790
0,30807096,8.95594,16.74222,-48.36189,55,0.03040
0,30817096,9.10503,16.00885,-58.35208,52,0.03340
0,30827096,9.25411,15.56763,-52.65638,49,0.02920
0,30837096,9.39255,14.87926,-59.13447,46,0.03140
0,30847096,9.52034,14.03917,-69.08405,43,0.03050
0,30857096,9.64813,13.53457,-61.63239,40,0.02760
0,30867096,9.76527,12.80684,-66.09150,36,0.03030
0,30877096,9.87176,11.94375,-74.17863,33,0.02900
0,30887096,9.97826,11.42551,-65.23486,31,0.03100
0,30897096,10.07410,10.68938,-68.58882,28,0.03320
0,30907096,10.15929,9.82103,-75.88374,25,0.03390
0,30917096,10.24448,9.30029,-66.36002,22,0.03640
