,t,q,w,dw,u,V,I
0,11278028,0.0000,0.0000,0.0000,0,1.0440,-0.0003
0,11292028,0.0000,0.0000,0.0000,0,1.0440,-0.0003
0,11306028,0.0000,0.0000,0.0000,0,1.0440,-0.0003
0,11320028,0.0000,0.0000,0.0000,1,0.0000,-0.0003
0,11334028,0.0000,0.0000,0.0000,3,0.0000,-0.0003
0,11348028,0.0000,0.0000,0.0000,4,0.0000,-0.0003
0,11362028,0.0000,0.0000,0.0000,6,0.0000,-0.0003
0,11376028,0.0000,0.0000,0.0000,9,0.0000,-0.0003
0,11390028,0.0053,0.3803,27.1662,11,0.1680,0.0428
0,11404028,0.0106,0.3804,0.0058,14,0.1680,0.0428
0,11418028,0.0213,0.7607,27.1604,18,0.1680,0.0428
0,11432028,0.0373,1.1410,27.1662,21,0.1680,0.0428
0,11446028,0.0586,1.5213,27.1662,25,1.1560,0.1444
0,11460028,0.0905,2.2821,54.3479,29,1.1560,0.1444
0,11474027,0.1278,2.6623,27.1545,33,1.1560,0.1444
0,11488028,0.1757,3.4227,54.3111,37,1.1560,0.1444
0,11502028,0.2343,4.1839,54.3751,41,1.1560,0.1444
0,11516028,0.3035,4.9442,54.3109,46,1.9440,0.2090
0,11530028,0.3834,5.7049,54.3327,50,1.9440,0.2090
0,11544027,0.4792,6.8459,81.4982,55,1.9440,0.2090
0,11558028,0.5857,7.6065,54.3327,59,1.9440,0.2090
0,11572028,0.7028,8.3672,54.3325,63,2.9600,0.2709
0,11586028,0.8360,9.5075,81.4441,67,2.9600,0.2709
0,11600027,0.9797,10.2696,54.4372,71,2.9600,0.2709
0,11614028,1.1395,11.4090,81.3826,75,2.9600,0.2709
0,11628027,1.3098,12.1713,54.4562,79,2.9600,0.2709
0,11642028,1.4962,13.3095,81.2889,82,4.3480,0.2910
0,11656028,1.6932,14.0701,54.3171,86,4.3480,0.2910
0,11670028,1.9009,14.8327,54.4756,88,4.3480,0.2910
0,11684028,2.1245,15.9737,81.4996,91,4.3480,0.2910
0,11698028,2.3535,16.3540,27.1651,93,4.3480,0.2910
0,11712028,2.5984,17.4925,81.3089,95,5.0880,0.2763
0,11726028,2.8486,17.8779,27.5312,97,5.0880,0.2763
0,11740028,3.1096,18.6400,54.4460,98,5.0880,0.2763
0,11754028,3.3758,19.0150,26.7834,99,5.0880,0.2763
0,11768028,3.6527,19.7770,54.4296,99,5.7800,0.2284
0,11782028,3.9349,20.1588,27.2699,99,5.7800,0.2284
0,11796028,4.2171,20.1573,-0.1029,99,5.7800,0.2284
0,11810027,4.5099,20.9180,54.3338,98,5.7800,0.2284
0,11824027,4.8028,20.9180,-0.0025,97,5.7800,0.2284
0,11838028,5.0956,20.9135,-0.3175,96,5.4200,0.1773
0,11852028,5.3885,20.9180,0.3176,94,5.4200,0.1773
0,11866028,5.6813,20.9180,0.0000,92,5.4200,0.1773
0,11880028,5.9689,20.5377,-27.1627,90,5.4200,0.1773
0,11894028,6.2564,20.5376,-0.0023,87,4.6880,0.0970
0,11908028,6.5386,20.1617,-26.8623,84,4.6880,0.0970
0,11922027,6.8155,19.7756,-27.5750,80,4.6880,0.0970
0,11936027,7.0870,19.3980,-26.9697,77,4.6880,0.0970
0,11950028,7.3479,18.6347,-54.5204,73,4.6880,0.0970
0,11964028,7.5982,17.8766,-54.1527,69,4.3880,0.0440
0,11978028,7.8484,17.8767,0.0048,65,4.3880,0.0440
0,11992028,8.0827,16.7344,-81.5890,61,4.3880,0.0440
0,12006028,8.3063,15.9737,-54.3375,56,4.3880,0.0440
0,12020028,8.5246,15.5912,-27.3202,52,4.3880,0.0440
0,12034027,8.7270,14.4545,-81.2053,48,2.9640,-0.0058
0,12048028,8.9187,13.6898,-54.6097,43,2.9640,-0.0058
0,12062027,9.0891,12.1714,-108.4664,39,2.9640,-0.0058
0,12076028,9.2541,11.7901,-27.2370,35,2.9640,-0.0058
0,12090027,9.4032,10.6492,-81.4904,31,1.3600,-0.0476
0,12104028,9.5416,9.8871,-54.4282,27,1.3600,-0.0476
0,12118028,9.6641,8.7494,-81.2828,23,1.3600,-0.0476
0,12132028,9.7706,7.6065,-81.6342,19,1.3600,-0.0476
0,12146027,9.8718,7.2257,-27.2001,16,1.3600,-0.0476
0,12160028,9.9516,5.7037,-108.6876,13,0.5720,-0.0666
0,12174028,10.0262,5.3246,-27.0827,10,0.5720,-0.0666
0,12188028,10.0794,3.8033,-108.6653,7,0.5720,-0.0666
0,12202028,10.1273,3.4229,-27.1651,5,0.5720,-0.0666
0,12216028,10.1646,2.6623,-54.3302,3,0.0280,-0.0666
0,12230028,10.1912,1.9016,-54.3351,2,0.0280,-0.0476
0,12244028,10.2072,1.1412,-54.3244,1,0.0280,-0.0476
0,12258028,10.2179,0.7605,-27.1943,0,0.0280,-0.0476
0,12272028,10.2179,0.0000,-54.3215,0,0.0280,-0.0476
0,12286028,10.2179,0.0000,0.0000,0,0.0000,-0.0227
0,12300028,10.2179,0.0000,0.0000,0,0.0000,-0.0227
0,12314028,10.2179,0.0000,0.0000,1,0.0000,-0.0227
0,12328028,10.2179,0.0000,0.0000,2,0.0000,-0.0227
0,12342028,10.2179,0.0000,0.0000,3,0.0000,-0.0227
0,12356028,10.2179,0.0000,0.0000,5,0.0000,0.0096
0,12370028,10.2179,0.0000,0.0000,8,0.0000,0.0096
0,12384028,10.2179,0.0000,0.0000,10,0.0000,0.0096
0,12398028,10.2179,0.0000,0.0000,13,0.0000,0.0096
0,12412027,10.2285,0.7609,54.3584,16,0.3480,0.1050
0,12426028,10.2392,0.7606,-0.0165,20,0.3480,0.1050
0,12440028,10.2605,1.5214,54.3468,23,0.3480,0.1050
0,12454028,10.2924,2.2820,54.3273,27,0.3480,0.1050
0,12468028,10.3244,2.2819,-0.0049,31,0.3480,0.1050
0,12482027,10.3670,3.0426,54.3351,35,1.4080,0.1783
0,12496028,10.4255,4.1836,81.4954,39,1.4080,0.1783
0,12510028,10.4894,4.5639,27.1700,44,1.4080,0.1783
0,12524028,10.5640,5.3246,54.3302,48,1.4080,0.1783
0,12538028,10.6545,6.4656,81.5002,53,1.4080,0.1783
0,12552028,10.7503,6.8459,27.1651,57,2.7200,0.2423
0,12566028,10.8675,8.3672,108.6654,61,2.7200,0.2423
0,12580028,10.9952,9.1278,54.3302,66,2.7200,0.2423
0,12594028,11.1337,9.8878,54.2808,70,2.7200,0.2423
0,12608028,11.2881,11.0287,81.4837,74,3.9680,0.2830
0,12622028,11.4532,11.7918,54.5195,77,3.9680,0.2830
0,12636028,11.6289,12.5508,54.2147,81,3.9680,0.2830
0,12650028,11.8259,14.0701,108.5014,84,3.9680,0.2830
0,12664027,12.0282,14.4503,27.1574,87,3.9680,0.2830
0,12678028,12.2412,15.2131,54.4874,90,5.0200,0.2892
0,12692028,12.4702,16.3540,81.4905,92,5.0200,0.2892
