,t,q,w,dw,u,V,I
0,11481036,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11495040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11509040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11523040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11537040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11551040,0.0000,0.0000,0.0000,0,1.0360,-0.0003
0,11565040,0.0000,0.0000,0.0000,0,1.0360,-0.0003
0,11579040,0.0000,0.0000,0.0000,0,1.0360,-0.0003
0,11593040,0.0000,0.0000,0.0000,0,1.0360,-0.0003
0,11607040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,11621040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,11635040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,11649040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,11663040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,11677040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,11691040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,11705040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,11719040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,11733040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,11747040,0.0000,0.0000,0.0000,0,1.0360,-0.0003
0,11761040,0.0000,0.0000,0.0000,0,1.0360,-0.0003
0,11775040,0.0000,0.0000,0.0000,0,1.0360,-0.0003
0,11789040,0.0000,0.0000,0.0000,0,1.0360,-0.0003
0,11803040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11817040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11831040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11845040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11859040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11873040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11887040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11901040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11915040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,11929040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,11943040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,11957040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,11971040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,11985040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,11999040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,12013040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,12027040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,12041040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,12055040,0.0000,0.0000,0.0000,0,1.0280,-0.0003
0,12069040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12083040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12097040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12111040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12125040,0.0000,0.0000,0.0000,0,1.0360,-0.0002
0,12139040,0.0000,0.0000,0.0000,0,1.0360,-0.0002
0,12153040,0.0000,0.0000,0.0000,0,1.0360,-0.0002
0,12167040,0.0000,0.0000,0.0000,0,1.0360,-0.0002
0,12181040,0.0000,0.0000,0.0000,0,1.0360,-0.0002
0,12195040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,12209040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,12223040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,12237040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,12251040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12265040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12279040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12293040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12307040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12321040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12335040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12349040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12363040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12377040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12391040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12405040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12419040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12433040,0.0000,0.0000,0.0000,0,1.0320,-0.0003
0,12447040,0.0000,0.0000,0.0000,0,1.0360,-0.0003
0,12461040,0.0000,0.0000,0.0000,0,1.0360,-0.0003
0,12475040,0.0000,0.0000,0.0000,0,1.0360,-0.0003
0,12489040,0.0000,0.0000,0.0000,0,1.0360,-0.0003
0,12503040,0.0000,0.0000,0.0000,0,1.0360,-0.0003
0,12517040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,12531040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,12545040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,12559040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
0,12573040,0.0000,0.0000,0.0000,0,1.0400,-0.0003
