,ticks,w,u,V,I
0,0,0.0000,1,5.9000,0.0003
0,0,0.0000,2,5.8960,0.0003
0,0,0.0000,3,5.9000,0.0004
0,0,0.0000,4,5.9600,0.0007
0,0,0.0000,5,5.9200,0.0008
0,0,0.0000,6,5.9480,0.0010
0,0,0.0000,7,5.9640,0.0011
0,0,0.0000,8,5.9520,0.0013
0,0,0.0000,9,5.8920,0.0014
0,0,0.0000,10,5.8920,0.0017
0,0,0.0000,11,5.8920,0.0020
0,0,0.0000,12,5.9440,0.0028
0,1,0.0000,13,5.9480,0.0032
0,1,-0.3051,14,5.9000,0.0037
0,1,0.0000,15,5.8960,0.0044
0,1,0.0000,16,5.9520,0.0050
0,1,0.0000,17,5.9520,0.0056
0,1,0.0000,18,5.9440,0.0063
0,1,0.0000,19,5.9400,0.0070
0,1,0.0000,20,5.9440,0.0077
0,1,0.0000,21,5.9360,0.0085
0,1,0.0000,22,5.9400,0.0093
0,1,0.0000,23,5.9320,0.0101
0,1,0.0000,24,5.8800,0.0110
0,1,0.0000,25,5.9320,0.0119
0,1,0.0000,26,5.9240,0.0130
0,1,0.0000,27,5.9280,0.0142
0,1,0.0000,28,5.9160,0.0161
0,1,0.0000,29,5.9000,0.0170
0,2020,0.0000,30,5.8400,0.0181
0,2021,616.5763,31,5.8960,0.0199
0,2020,0.3051,32,5.9000,0.0206
0,2020,-0.3051,33,5.9320,0.0216
0,2020,0.0000,34,5.8880,0.0228
0,2020,0.0000,35,5.8160,0.0239
0,2020,0.0000,36,5.9000,0.0235
0,2020,0.0000,37,5.9040,0.0254
0,2020,0.0000,38,5.8960,0.0278
0,2020,0.0000,39,5.8840,0.0304
0,2020,0.0000,40,5.8200,0.0323
0,2020,0.0000,41,5.8720,0.0341
0,2020,0.0000,42,5.8640,0.0358
0,2020,0.0000,43,5.8520,0.0376
0,2020,0.0000,44,5.8000,0.0393
0,2020,0.0000,45,5.8480,0.0412
0,2020,0.0000,46,5.7840,0.0430
0,2020,0.0000,47,5.8400,0.0449
0,2020,0.0000,48,5.7800,0.0460
0,2020,0.0000,49,5.8280,0.0480
0,2020,0.0000,50,5.7760,0.0487
0,2020,0.0000,51,5.8840,0.0507
0,2020,0.0000,52,5.8240,0.0521
0,2020,0.0000,53,5.8160,0.0553
0,2020,0.0000,54,5.8120,0.0576
0,2020,0.0000,55,5.8120,0.0597
0,2020,0.0000,56,5.7520,0.0623
0,2020,0.0000,57,5.8000,0.0657
0,2020,0.0000,58,5.8200,0.0680
0,2020,0.0000,59,5.8160,0.0688
0,2020,0.0000,60,5.8120,0.0710
0,2020,0.0000,61,5.8040,0.0740
0,2020,0.0000,62,5.7920,0.0765
0,2020,0.0000,63,5.5880,0.0762
0,2020,0.0000,64,5.6280,0.0795
0,2020,0.0000,65,5.5760,0.0819
0,2020,0.0000,66,5.5360,0.0828
0,2020,0.0000,67,5.5600,0.0853
0,2020,0.0000,68,5.4880,0.0874
0,2020,0.0000,69,5.4880,0.0903
0,2020,0.0000,70,5.4920,0.0929
0,2020,0.0000,71,5.5440,0.0950
0,2020,0.0000,72,5.4880,0.0969
0,2020,0.0000,73,5.4800,0.0997
0,2020,0.0000,74,5.4800,0.1023
0,2020,0.0000,75,5.4800,0.1049
0,2020,0.0000,76,5.4760,0.1075
0,2020,0.0000,77,5.4600,0.1104
0,2020,0.0000,78,5.5160,0.1130
0,2020,0.0000,79,5.4520,0.1160
0,2020,0.0000,80,5.4480,0.1184
0,2020,0.0000,81,5.4480,0.1216
0,2020,0.0000,82,5.3880,0.1245
0,8381,0.0000,83,5.4560,0.1203
0,14102,1940.6440,84,5.5000,0.1284
0,14102,1745.3898,85,5.4520,0.1402
0,14102,0.0000,86,5.4440,0.1442
0,14102,0.0000,87,5.3840,0.1466
0,14102,0.0000,88,5.3680,0.1505
0,14102,0.0000,89,5.4040,0.1529
0,14102,0.0000,90,5.4840,0.1581
0,14102,0.0000,91,5.4280,0.1620
