,ticks,w,u,V,I
0,0,0.0000,1,1.0440,-0.0003
0,827,0.0000,2,0.0000,-0.0003
0,827,252.3051,3,0.0000,0.0014
0,827,0.0000,4,0.0160,0.0097
0,827,0.0000,5,0.0280,0.0161
0,827,0.0000,6,0.0440,0.0168
0,827,0.0000,7,0.0400,0.0222
0,827,0.0000,8,0.0000,0.0249
0,827,0.0000,9,0.0000,-0.0008
0,827,0.0000,10,0.0000,0.0021
0,827,0.0000,11,0.0000,0.0180
0,827,0.0000,12,0.0120,0.0272
0,830,0.0000,13,0.0040,0.0323
0,830,0.9153,14,0.0200,0.0416
0,830,0.0000,15,0.1640,0.0557
0,830,0.0000,16,0.1640,0.0571
0,830,0.0000,17,0.1600,0.0673
0,830,0.0000,18,0.1640,0.0734
0,831,0.0000,19,0.1600,0.0764
0,831,0.3051,20,0.1600,0.0831
0,831,0.0000,21,0.1640,0.1080
0,831,0.0000,22,0.1440,0.1202
0,831,0.0000,23,0.2080,0.1228
0,831,0.0000,24,0.1360,0.1219
0,831,0.0000,25,0.1680,0.1341
0,833,0.0000,26,0.2600,0.1203
0,833,0.6102,27,0.2800,0.1350
0,833,0.0000,28,0.2840,0.1353
0,833,0.0000,29,0.1840,0.1464
0,840,0.0000,30,0.3000,0.1647
0,838,2.1356,31,0.2160,0.1486
0,838,-0.6102,32,0.3000,0.1486
0,838,0.0000,33,0.2480,0.1614
0,839,0.0000,34,0.4160,0.1829
0,839,0.3051,35,0.2960,0.1966
0,839,0.0000,36,0.4040,0.1967
0,839,0.0000,37,0.3800,0.2043
0,839,0.0000,38,0.2960,0.2153
0,839,0.0000,39,0.4320,0.2409
0,839,0.0000,40,0.5360,0.2482
0,839,0.0000,41,0.2480,0.2580
0,839,0.0000,42,0.4320,0.2565
0,838,0.0000,43,0.3120,0.2059
0,838,-0.3051,44,0.3040,0.2374
0,838,0.0000,45,0.5680,0.2499
0,838,0.0000,46,0.6400,0.2520
0,838,0.0000,47,0.6400,0.2543
0,838,0.0000,48,0.7000,0.2563
0,838,0.0000,49,0.6800,0.2663
0,838,0.0000,50,0.7000,0.2707
0,838,0.0000,51,0.7600,0.2708
0,838,0.0000,52,0.9600,0.2834
0,838,0.0000,53,1.0120,0.2843
0,838,0.0000,54,0.8240,0.2898
0,838,0.0000,55,0.8080,0.2911
0,838,0.0000,56,0.9560,0.2981
0,837,0.0000,57,0.9320,0.3068
