,ticks,w,u,V,I
0,0,0.0000,1,1.0360,-0.0003
0,0,0.0000,2,0.0000,-0.0003
0,0,0.0000,3,0.0000,0.0015
0,0,0.0000,4,0.0120,0.0097
0,0,0.0000,5,0.0320,0.0165
0,0,0.0000,6,0.0360,0.0221
0,0,0.0000,7,0.0000,0.0280
0,0,0.0000,8,0.0000,0.0147
0,0,0.0000,9,0.0000,0.0084
0,0,0.0000,10,0.0000,0.0186
0,0,0.0000,11,0.0200,0.0272
0,0,0.0000,12,0.0600,0.0342
0,0,0.0000,13,0.0200,0.0409
0,0,0.0000,14,0.1480,0.0469
0,0,0.0000,15,0.0200,0.0644
0,0,0.0000,16,0.1520,0.0694
0,0,0.0000,17,0.1560,0.0752
0,0,0.0000,18,0.1080,0.0764
0,0,0.0000,19,0.1600,0.0821
0,0,0.0000,20,0.1600,0.1045
0,0,0.0000,21,0.1640,0.1125
0,0,0.0000,22,0.1760,0.1202
0,0,0.0000,23,0.1640,0.1217
0,0,0.0000,24,0.1680,0.1310
0,0,0.0000,25,0.1640,0.1352
0,0,0.0000,26,0.1680,0.1353
0,0,0.0000,27,0.3000,0.1352
0,0,0.0000,28,0.2960,0.1352
0,0,0.0000,29,0.1640,0.1379
0,0,0.0000,30,0.2920,0.1458
0,1,0.0000,31,0.3000,0.1648
0,1,0.3051,32,0.3920,0.1669
0,178,0.0000,33,0.2960,0.0637
0,346,54.0000,34,0.2960,0.0896
0,498,51.2542,35,0.4880,0.0774
0,639,46.3729,36,0.4480,0.1214
0,755,43.0169,37,0.4120,0.1441
0,756,35.3898,38,0.4640,0.1452
0,901,0.3051,39,0.4360,0.1273
0,1093,44.2373,40,0.4320,0.0992
0,1316,58.5763,41,0.4320,0.0929
0,1568,68.0339,42,0.6000,0.0980
0,1848,76.8814,43,0.4360,0.0958
0,2154,85.4237,44,0.5400,0.0990
0,2491,93.3559,45,0.7120,0.0946
0,2861,102.8136,46,0.8280,0.0902
0,3258,112.8814,47,0.7640,0.0836
0,3680,121.1186,48,0.9280,0.0817
0,4127,128.7458,49,0.9320,0.0797
0,4580,136.3729,50,0.8200,0.0770
0,5057,138.2034,51,0.9560,0.0813
0,5552,145.5254,52,1.0560,0.0810
0,6070,151.0170,53,1.1840,0.0817
0,6626,158.0339,54,1.2160,0.0781
0,7203,169.6271,55,1.2120,0.0855
0,7803,176.0339,56,1.2840,0.0831
0,8427,183.0508,57,1.3160,0.0807
0,9071,190.3729,58,1.1520,0.0805
0,9733,196.4746,59,1.3520,0.0823
0,10419,201.9661,60,1.2680,0.0811
0,11125,209.2881,61,1.1600,0.0806
0,11851,215.3898,62,1.2120,0.0826
0,12593,221.4915,63,1.3000,0.0800
0,13340,226.3729,64,1.2840,0.0828
0,14107,227.8983,65,1.3320,0.0777
0,14895,234.0000,66,1.4760,0.0853
0,15702,240.4068,67,1.3480,0.0806
0,16527,246.2034,68,1.3640,0.0835
0,17368,251.6949,69,1.3760,0.0831
0,18227,256.5763,70,1.3600,0.0835
0,19103,262.0678,71,1.3680,0.0800
0,20000,267.2542,72,1.3440,0.0869
0,20912,273.6610,73,1.3480,0.0806
