,ticks,w,u,V,I
0,0,0.0000,1,5.9080,0.0003
0,0,0.0000,2,5.9080,0.0003
0,0,0.0000,3,5.9080,0.0005
0,0,0.0000,4,5.9680,0.0008
0,0,0.0000,5,5.9640,0.0010
0,0,0.0000,6,5.9640,0.0012
0,0,0.0000,7,5.9640,0.0015
0,0,0.0000,8,5.9600,0.0017
0,0,0.0000,9,5.9640,0.0022
0,0,0.0000,10,5.9000,0.0025
0,0,0.0000,11,5.9560,0.0029
0,0,0.0000,12,5.9520,0.0033
0,0,0.0000,13,5.9080,0.0039
0,0,0.0000,14,5.9520,0.0044
0,0,0.0000,15,5.9000,0.0051
0,0,0.0000,16,5.9520,0.0058
0,0,0.0000,17,5.8920,0.0065
0,0,0.0000,18,5.9440,0.0072
0,0,0.0000,19,5.9400,0.0081
0,0,0.0000,20,5.9360,0.0090
0,0,0.0000,21,5.9360,0.0100
0,0,0.0000,22,5.8760,0.0107
0,0,0.0000,23,5.8720,0.0119
0,1,0.0000,24,5.8880,0.0086
0,2,0.3051,25,5.9360,0.0098
0,4,0.3051,26,5.8720,0.0120
0,4,0.6102,27,5.8800,0.0139
0,4,0.0000,28,5.9160,0.0150
0,4,0.0000,29,5.9120,0.0156
0,4,0.0000,30,5.9080,0.0167
0,5,0.0000,31,5.8600,0.0168
0,5,0.3051,32,5.8600,0.0170
0,5,0.0000,33,5.9120,0.0175
0,5,0.0000,34,5.8560,0.0180
0,94,0.0000,35,5.9280,0.0096
0,298,27.1525,36,5.8640,0.0113
0,499,62.2373,37,5.8680,0.0115
0,715,61.3220,38,5.9280,0.0127
0,959,65.8983,39,5.8680,0.0122
0,1225,74.4407,40,5.9320,0.0135
0,1507,81.1525,41,5.9320,0.0129
0,1817,86.0339,42,5.9160,0.0132
0,2150,94.5763,43,5.9280,0.0140
0,2500,101.5932,44,5.9320,0.0142
0,2869,106.7797,45,5.8480,0.0143
0,3265,112.5763,46,5.8800,0.0143
0,3681,120.8136,47,5.9200,0.0148
0,4114,126.9153,48,5.9240,0.0152
0,4569,132.1017,49,5.9160,0.0152
0,5037,138.8136,50,5.8640,0.0155
0,5529,142.7797,51,5.9160,0.0165
0,6034,150.1017,52,5.9120,0.0168
0,6556,154.0678,53,5.8800,0.0167
0,7097,159.2542,54,5.8400,0.0175
0,7660,165.0508,55,5.9240,0.0177
0,8242,171.7627,56,5.8320,0.0179
0,8836,177.5593,57,5.8320,0.0179
0,9450,181.2203,58,5.8840,0.0189
0,10081,187.3220,59,5.9120,0.0186
0,10733,192.5085,60,5.8520,0.0195
0,11405,198.9153,61,5.8440,0.0194
0,12097,205.0170,62,5.8280,0.0200
0,12801,211.1186,63,5.8520,0.0203
0,13521,214.7797,64,5.9040,0.0209
0,14262,219.6610,65,5.8920,0.0209
0,15022,226.0678,66,5.8800,0.0211
0,15798,231.8644,67,5.9200,0.0218
0,16595,236.7458,68,5.8880,0.0226
0,17408,243.1525,69,5.9120,0.0225
0,18239,248.0339,70,5.8800,0.0229
0,19091,253.5254,71,5.8280,0.0232
0,19957,259.9322,72,5.8760,0.0238
0,20836,264.2034,73,5.9080,0.0242
0,21734,268.1695,74,5.8800,0.0245
0,22650,273.9661,75,5.8960,0.0250
0,23580,279.4576,76,5.8840,0.0252
0,24529,283.7288,77,5.9000,0.0253
0,25494,289.5254,78,5.8880,0.0259
0,26477,294.4068,79,5.8360,0.0259
0,27468,299.8983,80,5.8120,0.0267
0,28478,302.3390,81,5.8960,0.0274
0,29503,308.1356,82,5.8720,0.0272
0,30549,312.7119,83,5.8120,0.0279
0,31617,319.1187,84,5.8920,0.0279
0,32699,325.8305,85,5.8320,0.0278
0,33798,330.1017,86,5.9000,0.0288
0,34913,335.2881,87,5.8560,0.0289
0,36047,340.1695,88,5.8320,0.0300
0,37199,345.9661,89,5.8520,0.0298
0,38363,351.4576,90,5.8160,0.0301
0,39543,355.1187,91,5.8640,0.0308
0,40741,360.0000,92,5.8400,0.0314
0,41956,365.4915,93,5.8800,0.0310
0,43189,370.6780,94,5.8560,0.0316
0,44433,376.1695,95,5.7920,0.0320
0,45699,379.5254,96,5.8440,0.0324
0,46985,386.2373,97,5.8760,0.0327
0,48285,392.3390,98,5.8720,0.0331
0,49602,396.6102,99,5.8360,0.0338
0,50937,401.7966,100,5.8640,0.0344
0,52292,407.2881,101,5.8320,0.0343
0,53659,413.3898,102,5.8320,0.0351
0,55044,417.0508,103,5.8760,0.0351
0,56446,422.5424,104,5.8040,0.0352
0,57866,427.7288,105,5.8760,0.0357
0,59297,433.2203,106,5.8560,0.0366
0,60744,436.5763,107,5.8720,0.0378
0,62207,441.4576,108,5.8520,0.0370
0,63684,446.3390,109,5.8720,0.0377
0,65178,450.6102,110,5.7920,0.0383
