,t,q,w,dw,u,I
0,17373105,0.00000,0,0,0,-0.00050
0,17382105,0.00000,0.00000,0,0,0.00000
0,17391105,0.00000,0.00000,0.00000,0,-0.00030
0,17400105,0.00000,0.00000,0.00000,0,-0.00010
0,17409105,0.00000,0.00000,0.00000,1,-0.00050
0,17418105,0.00000,0.00000,0.00000,1,0.00000
0,17427109,0.00000,0.00000,0.00000,2,0.00030
0,17436105,0.00000,0.00000,0.00000,3,0.00030
0,17445109,0.00000,0.00000,0.00000,5,-0.00070
0,17454109,0.00000,0.00000,0.00000,6,0.00190
0,17463109,0.00000,0.00000,0.00000,7,0.00260
0,17472105,0.00000,0.00000,0.00000,9,0.00330
0,17481109,0.00000,0.00000,0.00000,11,0.00500
0,17490105,0.00000,0.00000,0.00000,12,0.00780
0,17499105,0.00000,0.00000,0.00000,14,0.01040
0,17508105,0.00000,0.00000,0.00000,16,0.01360
0,17517105,0.30508,33.89830,3766.47827,19,0.01560
0,17527105,0.30508,0.00000,-3389.83057,21,0.02030
0,17537105,0.61017,30.50847,3050.84741,24,0.02510
0,17547105,1.22034,61.01695,3050.84741,27,0.03010
0,17557105,1.83051,61.01695,0.00038,29,0.03440
0,17566105,2.74576,101.68363,4518.01807,32,0.04170
0,17576105,3.35593,61.02304,-4066.46558,35,0.04980
0,17586105,4.27119,91.52541,3050.23706,38,0.05470
0,17596105,5.49153,122.03394,3050.85229,41,0.06390
0,17606105,7.01695,152.54236,3050.84229,44,0.07020
0,17616101,8.84746,183.05087,3050.85156,47,0.07460
0,17626105,10.67797,183.05083,-0.00458,50,0.08530
0,17636105,12.50848,183.05092,0.00916,54,0.08890
0,17646105,14.94915,244.06767,6101.67578,57,0.09890
0,17656105,17.69492,274.57639,3050.87134,60,0.10480
0,17666105,20.44068,274.57620,-0.01831,63,0.11260
0,17676105,23.49152,305.05411,3047.48584,66,0.12570
0,17686105,26.84746,335.59341,3053.93066,69,0.11890
0,17696105,30.20339,335.62680,3.33896,72,0.13620
0,17706105,34.16949,396.53076,6089.17822,74,0.13350
0,17716105,38.13559,396.68958,15.88452,77,0.13410
0,17726105,42.10170,396.61026,-7.93152,80,0.14110
0,17736105,46.67797,457.62711,6101.68457,82,0.14550
0,17746105,51.25423,457.62674,-0.03662,84,0.14910
0,17756109,56.13559,487.89197,3025.01025,87,0.15040
0,17766105,61.01695,488.18475,29.28149,89,0.15560
0,17776105,66.20338,518.64319,3045.84351,90,0.17370
0,17786105,71.69492,549.15314,3050.99487,92,0.15940
0,17796109,77.18644,549.15240,-0.07324,94,0.17760
0,17806109,83.28814,610.04797,6088.33887,95,0.16160
0,17816109,89.08475,579.66083,-3038.71460,96,0.16750
0,17826105,95.18644,610.41339,3076.48706,97,0.18320
0,17836105,101.59322,640.74176,3033.14038,98,0.16360
0,17846105,107.69492,610.10895,-3062.97485,99,0.15850
0,17856105,114.40678,671.25397,6115.11377,99,0.15820
0,17866105,121.11864,671.18610,-6.78711,99,0.15730
0,17876105,127.83051,671.18610,0.00000,99,0.15890
0,17886105,134.84746,701.69525,3050.91553,99,0.15420
0,17896105,141.86441,701.69525,0.00000,99,0.16950
0,17906105,149.18643,732.20215,3050.68970,98,0.17400
0,17916105,156.50847,732.20367,0.15259,98,0.13930
0,17926105,163.83051,731.98413,-21.94776,97,0.12990
0,17936105,171.15254,732.27692,29.28149,96,0.15770
0,17946105,178.77966,762.63580,3035.58521,94,0.12410
0,17956105,186.40678,762.71210,7.62939,93,0.12260
0,17966105,194.33899,793.29987,3059.08301,91,0.12020
0,17976105,201.66103,732.20367,-6109.61914,89,0.10240
0,17986105,209.59322,793.13965,6092.98828,87,0.12180
0,17996105,217.52541,793.21899,7.93457,85,0.09180
0,18006105,225.15254,762.86615,-3035.89160,83,0.11220
0,18016105,232.77965,762.86310,-0.30524,81,0.07910
0,18026105,240.71187,793.22205,3035.89478,78,0.08380
0,18036105,248.03389,732.12891,-6108.70312,76,0.05930
0,18046105,255.96611,793.30139,6117.86084,73,0.05520
0,18056105,263.28812,732.20062,-6110.07715,70,0.06270
0,18066105,270.91525,762.71362,3051.30005,67,0.04550
0,18076105,278.54236,762.63428,-7.93378,64,0.04650
0,18086105,285.55933,701.76697,-6087.33984,61,0.04260
0,18096105,292.57626,701.69373,-7.32422,58,0.03760
0,18106105,299.89832,732.05878,3035.89795,55,0.01890
0,18116105,306.61017,671.31958,-6075.13477,52,0.01750
0,18126101,313.32202,671.18530,-13.42773,49,0.00870
