,t,q,w,dw,u,I
0,20656109,0.35675,0,0,0,-0.00010
0,20665109,0.35675,0.00000,0,0,0.00000
0,20674109,0.35675,0.00000,0.00000,0,0.00000
0,20683109,0.35675,0.00000,0.00000,0,0.00030
0,20692109,0.35675,0.00000,0.00000,1,-0.00050
0,20701109,0.35675,0.00000,0.00000,1,-0.00010
0,20710109,0.35675,0.00000,0.00000,2,0.00050
0,20719109,0.35675,0.00000,0.00000,3,0.00060
0,20728109,0.35675,0.00000,0.00000,5,-0.00120
0,20737109,0.35675,0.00000,0.00000,6,0.00190
0,20746109,0.35675,0.00000,0.00000,7,0.00270
0,20755109,0.35675,0.00000,0.00000,9,0.00400
0,20764109,0.35675,0.00000,0.00000,11,0.00560
0,20773109,0.35675,0.00000,0.00000,12,0.00830
0,20782105,0.36207,0.59182,65.77931,14,0.01000
0,20791105,0.36740,0.59162,-0.02191,16,0.01200
0,20800105,0.36740,0.00000,-65.73547,19,0.01380
0,20809105,0.37272,0.59168,65.75007,21,0.01600
0,20818105,0.37804,0.59155,-0.01460,23,0.02070
0,20827105,0.38869,1.18337,65.76467,26,0.02490
0,20836105,0.39934,1.18324,-0.01424,28,0.03020
0,20845105,0.40999,1.18324,-0.00073,31,0.03280
0,20854105,0.42064,1.18324,0.00073,33,0.03780
0,20863105,0.43662,1.77466,65.70625,36,0.04670
0,20872105,0.45259,1.77486,0.02155,39,0.04890
0,20881105,0.46324,1.18337,-65.72779,42,0.05740
0,20891105,0.48454,2.12983,94.64558,45,0.05840
0,20900105,0.50583,2.36648,26.29458,48,0.06770
0,20909105,0.53246,2.95810,65.73545,50,0.08000
0,20918105,0.55908,2.95810,0.00000,53,0.08450
0,20927105,0.58570,2.95809,-0.00074,56,0.09310
0,20936105,0.62298,4.14134,131.47166,59,0.09080
0,20946105,0.65492,3.19475,-94.65881,62,0.10000
0,20956105,0.69752,4.25966,106.49085,65,0.10730
0,20965105,0.74012,4.73295,52.58841,68,0.11840
0,20974105,0.78271,4.73296,0.00074,70,0.12800
0,20983105,0.83063,5.32458,65.73508,73,0.12840
0,20992105,0.87856,5.32458,0.00074,75,0.12780
0,21001105,0.93180,5.91619,65.73434,78,0.13380
0,21010105,0.98505,5.91620,0.00074,80,0.14210
0,21019105,1.04894,7.09943,131.47021,82,0.13410
0,21029105,1.11284,6.38950,-70.99314,84,0.15650
0,21039109,1.18206,6.91987,53.02136,87,0.15640
0,21048113,1.25128,7.68934,85.47791,88,0.14700
0,21057109,1.31517,7.10023,-65.46414,90,0.14740
0,21067109,1.39504,7.98686,88.66239,92,0.14690
0,21076109,1.46958,8.28267,32.86881,93,0.15470
0,21085109,1.54413,8.28267,0.00000,95,0.15280
0,21094109,1.62400,8.87430,65.73582,96,0.16470
0,21103113,1.70386,8.87331,-0.10955,97,0.15350
0,21112105,1.78373,8.87823,0.54680,98,0.15610
0,21121105,1.86893,9.46592,65.29893,98,0.15130
0,21130109,1.95412,9.46591,-0.00148,99,0.15650
0,21139105,2.03931,9.46591,0.00000,99,0.17820
0,21148109,2.12983,10.05756,65.73878,99,0.16260
0,21158105,2.23100,10.11670,5.91402,99,0.15820
0,21167105,2.32684,10.64913,59.15875,99,0.15750
0,21177109,2.43333,10.64916,0.00315,99,0.16170
0,21186109,2.52917,10.64681,-0.26051,99,0.13900
0,21196109,2.63567,10.65126,0.44517,98,0.16060
0,21205109,2.73151,10.64678,-0.49739,97,0.13040
0,21215109,2.84332,11.18050,53.36609,96,0.12490
0,21225109,2.95514,11.18159,0.10939,95,0.11990
0,21234109,3.05631,11.24080,6.57866,94,0.12640
0,21243109,3.15747,11.24077,-0.00297,92,0.10770
0,21253109,3.27461,11.71405,47.32790,91,0.10660
0,21263109,3.39176,11.71525,0.11960,89,0.11160
0,21272109,3.49292,11.23952,-52.85238,87,0.11580
0,21282105,3.60474,11.18495,-5.45933,85,0.11530
0,21292105,3.72188,11.71410,52.91529,82,0.10370
0,21301105,3.82837,11.83366,13.28552,80,0.08690
0,21311105,3.94551,11.71410,-11.95564,78,0.06370
0,21321105,4.05733,11.18162,-53.24841,75,0.06570
0,21331105,4.17447,11.71286,53.11883,72,0.05950
0,21340105,4.27563,11.24205,-52.31792,70,0.06660
0,21350105,4.38745,11.18159,-6.04563,67,0.05630
0,21360105,4.49927,11.18052,-0.10699,64,0.04560
0,21370105,4.60576,10.65017,-53.04018,61,0.03070
0,21380105,4.71225,10.64920,-0.09699,58,0.03100
0,21389105,4.80809,10.64915,-0.00583,55,0.02790
0,21398105,4.90393,10.64910,-0.00593,52,0.02930
0,21407105,4.98913,9.46596,-131.45988,49,0.01600
0,21417105,5.09030,10.11672,65.07607,46,0.02210
0,21427105,5.18081,9.05175,-106.49681,43,0.01090
0,21437105,5.27666,9.58424,53.24841,40,0.01170
0,21446105,5.35652,8.87332,-78.98142,37,0.00760
0,21455105,5.43639,8.87524,0.21322,34,0.00560
0,21464105,5.51094,8.28174,-65.93735,32,0.00160
0,21473105,5.58548,8.28363,0.21036,29,0.00230
0,21482105,5.64938,7.09863,-131.65273,27,-0.00140
0,21492105,5.72392,7.45440,35.57673,24,0.00110
0,21501105,5.78781,7.10026,-39.35292,21,0.00030
0,21510109,5.84106,5.91617,-131.56516,19,-0.00320
0,21520105,5.90495,6.38884,47.26166,17,-0.00030
0,21529105,5.95820,5.91622,-52.51233,15,-0.00230
0,21539109,6.01145,5.32296,-59.30891,12,-0.00310
0,21549109,6.06469,5.32460,0.16441,10,-0.00110
0,21558109,6.10729,4.73298,-65.73582,9,-0.00110
0,21568109,6.14989,4.25963,-47.33458,7,-0.00140
0,21578109,6.18716,3.72682,-53.27557,5,-0.00180
0,21588109,6.22443,3.72757,0.07456,4,-0.00030
0,21597109,6.24573,2.36649,-151.23119,3,-0.00080
0,21607109,6.27768,3.19476,82.82714,2,-0.00100
0,21616109,6.29365,1.77543,-157.75577,1,-0.00060
0,21626109,6.31495,2.12984,35.44081,0,0.00070
0,21635109,6.33092,1.77484,-39.44444,0,0.00050
0,21644109,6.34157,1.18324,-65.73289,0,-0.00050
0,21654109,6.35222,1.06481,-11.84191,0,-0.00030
0,21664109,6.36287,1.06503,0.02130,0,0.00050
0,21673109,6.36287,0.00000,-118.33634,0,0.00020
0,21682109,6.36287,0.00000,0.00000,0,0.00010
0,21691109,6.36287,0.00000,0.00000,1,0.00000
0,21700109,6.36287,0.00000,0.00000,1,-0.00230
0,21709109,6.36287,0.00000,0.00000,2,0.00050
0,21718109,6.36287,0.00000,0.00000,3,0.00060
0,21727109,6.36287,0.00000,0.00000,4,0.00090
0,21736109,6.36287,0.00000,0.00000,6,0.00140
0,21745109,6.36287,0.00000,0.00000,7,0.00190
0,21754109,6.36287,0.00000,0.00000,9,0.00240
0,21763109,6.36287,0.00000,0.00000,10,0.00380
0,21772109,6.36287,0.00000,0.00000,12,0.00510
0,21781109,6.36287,0.00000,0.00000,14,0.00490
0,21790105,6.36287,0.00000,0.00000,16,0.00880
0,21799105,6.36287,0.00000,0.00000,18,0.01250
0,21808105,6.36287,0.00000,0.00000,21,0.01470
0,21817105,6.36287,0.00000,0.00000,23,0.01920
0,21826105,6.36287,0.00000,0.00000,25,0.02370
0,21835105,6.36287,0.00000,0.00000,28,0.03160
0,21844105,6.36287,0.00000,0.00000,30,0.03620
0,21853105,6.36287,0.00000,0.00000,33,0.04310
0,21862105,6.36819,0.59160,65.73289,36,0.05140
0,21871105,6.37352,0.59165,0.00589,39,0.05980
0,21880105,6.37884,0.59160,-0.00589,41,0.06250
0,21889105,6.39482,1.77489,131.47755,44,0.07080
0,21899105,6.40547,1.06492,-70.99736,47,0.08630
0,21909105,6.42676,2.12979,106.48727,50,0.08290
0,21919105,6.44806,2.12984,0.00477,54,0.08260
0,21928105,6.47469,2.95814,92.03313,56,0.09490
0,21937105,6.50131,2.95809,-0.00588,59,0.09990
0,21946105,6.52793,2.95809,0.00000,62,0.11020
0,21955105,6.56520,4.14128,131.46576,65,0.11040
0,21965105,6.60247,3.72720,-41.40802,68,0.12500
0,21974105,6.63975,4.14133,46.01479,70,0.13610
0,21983105,6.68234,4.73298,65.73878,73,0.13240
0,21992105,6.73026,5.32458,65.73290,75,0.14160
0,22001105,6.77819,5.32458,0.00000,78,0.13580
0,22010105,6.83143,5.91622,65.73878,80,0.14040
0,22019105,6.88468,5.91622,0.00000,82,0.14780
0,22028105,6.94325,6.50782,65.73285,84,0.14670
0,22037109,7.00182,6.50493,-0.32109,86,0.15400
0,22046109,7.06571,7.10021,66.14911,88,0.15020
0,22055109,7.12961,7.09858,-0.18113,90,0.15010
0,22064109,7.19883,7.69107,65.83230,91,0.16720
0,22073109,7.26805,7.69107,0.00000,93,0.15560
0,22082109,7.34259,8.28271,65.73878,94,0.14980
0,22091109,7.41713,8.28266,-0.00593,95,0.15010
0,22100109,7.49168,8.28271,0.00593,96,0.15520
0,22109105,7.57155,8.87727,66.08369,97,0.15960
0,22118105,7.65142,8.87420,-0.34057,98,0.15510
0,22127105,7.73661,9.46591,65.74472,99,0.15880
0,22136109,7.82180,9.46596,0.00583,99,0.16620
0,22145105,7.90700,9.46591,-0.00583,99,0.17510
0,22154107,7.99219,9.46596,0.00583,99,0.13990
0,22163105,8.08271,10.05867,65.86436,99,0.13970
0,22173105,8.18387,10.11557,5.68867,99,0.15200
0,22182105,8.27972,10.64915,59.28739,99,0.14290
0,22192105,8.38088,10.11677,-53.23839,98,0.13820
0,22202105,8.48737,10.64911,53.23410,97,0.15840
0,22211109,8.58854,11.23586,65.16560,97,0.13310
0,22221109,8.69503,10.65124,-58.47383,95,0.13160
0,22231109,8.80152,10.64911,-0.21296,94,0.13210
0,22241109,8.90802,10.64920,0.00954,93,0.11730
0,22250109,9.01451,11.83245,131.47174,91,0.10790
0,22260109,9.12100,10.64911,-118.33411,89,0.12640
0,22270109,9.23281,11.18155,53.24364,87,0.12530
0,22280109,9.34463,11.18052,-0.10222,85,0.11160
0,22290105,9.46177,11.71759,53.72305,83,0.10930
0,22300105,9.57359,11.18276,-53.48865,80,0.10460
0,22310105,9.68540,11.18164,-0.11187,78,0.07660
0,22320105,9.80254,11.71398,53.23410,75,0.07000
0,22330109,9.91436,11.17940,-53.44704,72,0.06340
0,22340105,10.02618,11.18388,0.44736,70,0.05350
0,22349105,10.12202,10.64915,-59.41391,67,0.05010
0,22359105,10.23384,11.18155,53.23935,64,0.04420
0,22369105,10.34033,10.64920,-53.23410,61,0.02950
0,22379105,10.44682,10.64911,-0.00954,58,0.03920
0,22389105,10.54799,10.11677,-53.23410,55,0.03400
0,22399105,10.65448,10.64911,53.23410,52,0.02160
0,22409105,10.75032,9.58424,-106.48727,49,0.02460
0,22419105,10.84616,9.58424,0.00000,45,0.01430
0,22428105,10.93135,9.46585,-13.15361,43,0.00900
0,22438105,11.02187,9.05180,-41.40539,40,0.01330
0,22448105,11.11239,9.05180,0.00000,36,0.00940
0,22457105,11.18694,8.28277,-85.44806,34,0.00700
0,22467105,11.26680,7.98674,-29.60310,31,0.00590
0,22477105,11.34667,7.98693,0.01907,28,0.00320
0,22486105,11.41057,7.09858,-98.69480,25,0.00460
0,22496105,11.48511,7.45449,35.59156,23,0.00080
0,22506105,11.54901,6.39007,-106.45306,20,-0.00120
0,22516105,11.61290,6.38952,-0.05441,18,0.00110
0,22525105,11.66615,5.91628,-52.58274,16,-0.00170
0,22535109,11.71939,5.32243,-59.36151,13,0.00210
0,22545109,11.77264,5.32455,0.21291,11,-0.00260
0,22555109,11.82588,5.32455,0.00000,9,-0.00180
0,22564113,11.86848,4.73245,-65.78165,8,-0.00240
0,22574109,11.90575,3.72752,-100.50315,6,-0.00240
0,22584109,11.94302,3.72725,-0.02775,5,-0.00270
0,22594109,11.97497,3.19471,-53.25317,3,-0.00090
0,22604109,12.00159,2.66228,-53.24364,2,-0.00070
0,22614105,12.02289,2.13048,-53.19567,1,-0.00060
0,22624109,12.04419,2.12984,-0.06392,1,-0.00030
0,22634109,12.06017,1.59740,-53.24364,0,-0.00030
0,22644109,12.07614,1.59708,-0.03194,0,0.00060
0,22653109,12.08146,0.59173,-111.73122,0,0.00040
0,22663105,12.09211,1.06487,47.31453,0,-0.00020
0,22673109,12.09744,0.53244,-53.24364,0,0.00010
0,22683105,12.10276,0.53253,0.00954,0,0.00020
0,22692109,12.10276,0.00000,-59.17020,1,-0.00010
0,22702105,12.10276,0.00000,0.00000,2,-0.00020
0,22711109,12.10276,0.00000,0.00000,2,0.00040
0,22720109,12.10276,0.00000,0.00000,3,-0.00250
0,22729109,12.10276,0.00000,0.00000,5,0.00320
0,22738109,12.10276,0.00000,0.00000,6,0.00140
0,22747109,12.10276,0.00000,0.00000,7,0.00250
0,22756109,12.10276,0.00000,0.00000,9,0.00350
0,22765109,12.10276,0.00000,0.00000,11,0.00420
0,22774109,12.10276,0.00000,0.00000,13,0.00560
0,22783105,12.10276,0.00000,0.00000,15,0.00610
0,22792105,12.10276,0.00000,0.00000,17,0.00920
0,22801105,12.10276,0.00000,0.00000,19,0.01310
0,22810105,12.10276,0.00000,0.00000,21,0.01660
0,22819105,12.10276,0.00000,0.00000,23,0.01930
0,22828105,12.10276,0.00000,0.00000,26,0.02350
0,22837105,12.10276,0.00000,0.00000,28,0.02780
0,22846105,12.10276,0.00000,0.00000,31,0.03890
0,22855105,12.11341,1.18319,131.46579,34,0.04210
0,22865105,12.12406,1.06486,-11.83185,37,0.04610
0,22875105,12.14003,1.59747,53.26606,40,0.05240
0,22884105,12.15068,1.18330,-46.01900,43,0.06120
0,22894105,12.16666,1.59731,41.40111,46,0.06390
0,22903105,12.18795,2.36649,85.46453,49,0.06890
0,22913105,12.20925,2.12984,-23.66490,52,0.07790
0,22923105,12.23588,2.66228,53.24364,55,0.07860
0,22932105,12.26250,2.95819,32.87941,58,0.09540
0,22942109,12.29977,3.72640,76.80592,61,0.09660
0,22952105,12.33704,3.72752,0.11183,64,0.09710
0,22961107,12.36899,3.55008,-19.71851,66,0.10710
0,22971105,12.41159,4.25926,70.91090,69,0.11380
0,22981105,12.46483,5.32518,106.60332,72,0.11830
0,22991105,12.50743,4.25916,-106.59153,75,0.12720
0,23001105,12.56600,5.85709,159.79257,78,0.12730
0,23011105,12.61925,5.32455,-53.25317,80,0.13800
0,23021105,12.67782,5.85699,53.24364,83,0.13350
0,23030105,12.73639,6.50860,72.40867,85,0.14740
0,23039109,12.79496,6.50488,-0.41313,87,0.14080
0,23049109,12.85885,6.38952,-11.53541,89,0.15710
0,23059109,12.93340,7.45440,106.48727,90,0.15490
0,23069113,13.00794,7.45365,-0.07452,92,0.15730
0,23079109,13.08248,7.45524,0.15866,94,0.14680
0,23088109,13.15170,7.69096,26.19150,95,0.15170
0,23098109,13.23157,7.98693,29.59671,96,0.15600
0,23108109,13.31677,8.51936,53.24364,97,0.15790
0,23118105,13.40196,8.52182,0.24622,98,0.17570
0,23127109,13.48715,9.46596,104.90386,99,0.17040
0,23137109,13.57767,9.05170,-41.42551,99,0.14850
0,23147105,13.66819,9.05170,0.00000,99,0.15580
0,23156105,13.75338,9.46596,46.02835,99,0.16800
0,23165105,13.84390,10.05766,65.74472,99,0.16690
0,23175109,13.94506,10.11557,5.78975,99,0.14990
0,23185109,14.04091,9.58529,-53.03275,99,0.14160
0,23195105,14.14740,10.64911,106.38180,98,0.15420
0,23205109,14.25389,10.64495,-0.41611,97,0.12740
0,23215109,14.35506,10.11759,-52.74099,96,0.14250
0,23225109,14.46155,10.64920,53.16153,95,0.15140
0,23235109,14.57337,11.18285,53.37038,93,0.12730
0,23245109,14.67986,10.64901,-53.38411,92,0.11420
0,23255109,14.78635,10.64911,0.00954,90,0.10820
0,23265109,14.89816,11.18062,53.14563,88,0.11910
0,23275109,15.00998,11.18266,0.20458,86,0.11650
0,23285109,15.12180,11.18285,0.01908,84,0.09610
0,23295105,15.23361,11.18378,0.09272,82,0.08000
0,23304105,15.32946,10.64915,-59.40332,79,0.07050
0,23314109,15.44660,11.71173,106.23705,77,0.08390
0,23324105,15.55309,10.65133,-106.06131,74,0.08520
0,23334105,15.65958,10.64911,-0.22249,71,0.05760
0,23344105,15.77139,11.18043,53.12655,69,0.05560
0,23354105,15.87789,10.65027,-53.02111,66,0.05810
0,23364105,15.98438,10.64920,-0.10653,63,0.04790
0,23374105,16.08554,10.11658,-53.26271,60,0.02730
0,23384105,16.19204,10.64911,53.25317,56,0.03120
0,23394105,16.28788,9.58424,-106.48727,53,0.02450
0,23404105,16.38372,9.58443,0.01907,50,0.02220
0,23413105,16.46891,9.46575,-13.18656,47,0.01290
0,23423105,16.56476,9.58424,11.84883,44,0.01110
0,23432105,16.63930,8.28277,-144.60765,41,0.00960
0,23442105,16.72449,8.51936,23.65961,38,0.01010
0,23452105,16.80969,8.51917,-0.01907,35,0.00890
0,23461105,16.88423,8.28277,-26.26727,33,0.00800
0,23471105,16.95877,7.45430,-82.84674,30,0.00740
0,23481105,17.03332,7.45449,0.01907,27,0.00440
0,23490105,17.09721,7.09936,-39.45854,24,-0.00130
0,23500105,17.16111,6.38962,-70.97459,22,0.00210
0,23510105,17.22500,6.38943,-0.01907,19,0.00020
0,23519105,17.27825,5.91617,-52.58391,17,0.00030
0,23529105,17.33150,5.32455,-59.16176,15,-0.00310
0,23539109,17.38474,5.32243,-0.21282,12,-0.00190
0,23549109,17.43266,4.79221,-53.02119,10,-0.00160
0,23559109,17.47526,4.25968,-53.25317,9,-0.00230
0,23569109,17.51253,3.72715,-53.25317,7,-0.00150
0,23579109,17.54980,3.72715,0.00000,5,0.00150
0,23588109,17.57643,2.95830,-85.42800,4,-0.00120
0,23598109,17.60305,2.66209,-29.62115,3,-0.00100
0,23608109,17.62967,2.66247,0.03815,2,-0.00050
0,23617109,17.64565,1.77508,-98.62098,1,-0.00070
0,23627109,17.66162,1.59740,-17.76719,0,0.00000
0,23636109,17.67227,1.18354,-45.99057,0,0.00200
0,23646109,17.68292,1.06487,-11.86626,0,-0.00040
0,23656109,17.68824,0.53234,-53.25317,0,0.00000
0,23665109,17.69357,0.59170,6.59566,0,0.00040
0,23674105,17.69357,0.00000,-65.74467,0,0.00010
0,23683105,17.68824,-0.59170,-65.74467,0,0.00000
0,23693105,17.68824,0.00000,59.17020,1,0.00070
0,23702105,17.68824,0.00000,0.00000,2,0.00000
0,23711109,17.68292,-0.59129,-65.67731,2,0.00010
0,23721109,17.68292,0.00000,59.12929,4,0.00080
0,23730109,17.68292,0.00000,0.00000,5,0.00140
0,23739109,17.68292,0.00000,0.00000,6,0.00200
0,23748109,17.68292,0.00000,0.00000,8,0.00230
0,23757109,17.68292,0.00000,0.00000,9,0.00330
0,23766109,17.68292,0.00000,0.00000,11,0.00520
0,23775109,17.68292,0.00000,0.00000,13,0.00530
0,23784105,17.68292,0.00000,0.00000,15,0.00700
0,23793105,17.68292,0.00000,0.00000,17,0.01020
0,23802105,17.68292,0.00000,0.00000,19,0.01300
0,23811105,17.68292,0.00000,0.00000,21,0.01750
0,23820105,17.68292,0.00000,0.00000,24,0.02030
0,23829105,17.68292,0.00000,0.00000,26,0.02480
0,23838105,17.68824,0.59149,65.72112,29,0.03380
0,23848105,17.68824,0.00000,-59.14901,32,0.03860
0,23858105,17.68824,0.00000,0.00000,35,0.04620
0,23867105,17.69357,0.59170,65.74467,37,0.05410
0,23876105,17.70422,1.18319,65.72112,40,0.06060
0,23886105,17.70954,0.53253,-65.06603,43,0.06110
0,23896105,17.72552,1.59740,106.48727,46,0.06350
0,23906105,17.74681,2.12975,53.23410,49,0.06950
0,23915105,17.76811,2.36660,26.31672,52,0.07960
0,23924105,17.78941,2.36638,-0.02355,55,0.09100
0,23934105,17.81071,2.12975,-23.66385,58,0.09550
0,23944105,17.84266,3.19481,106.50635,61,0.09600
0,23954105,17.87460,3.19462,-0.01907,64,0.10240
0,23964105,17.91720,4.25968,106.50635,67,0.11590
0,23974105,17.95979,4.25968,0.00000,70,0.11530
0,23983105,17.99707,4.14149,-13.13241,73,0.11510
0,23993105,18.04499,4.79202,65.05328,75,0.13420
0,24003105,18.09823,5.32455,53.25317,78,0.13670
0,24012105,18.14616,5.32468,0.01415,80,0.13760
0,24021105,18.19408,5.32447,-0.02352,83,0.13360
0,24030105,18.25265,6.50787,131.48933,85,0.14020
0,24040113,18.31654,6.38579,-12.20147,87,0.14340
0,24050109,18.38044,6.39115,0.53694,89,0.13870
0,24059109,18.44433,7.09879,78.61716,90,0.15420
0,24069109,18.51355,6.92196,-17.68279,92,0.14060
0,24079109,18.58810,7.45449,53.25317,94,0.15240
0,24089109,18.66264,7.45505,0.05551,95,0.14720
0,24098109,18.73718,8.28185,91.85661,96,0.14960
0,24108109,18.81705,7.98683,-29.50153,97,0.14880
0,24118109,18.89692,7.98923,0.23973,98,0.14670
0,24127109,18.97679,8.87426,98.33665,99,0.14970
