,t,q,w,dw,u,I
0,23113129,0.00000,0,0,0,-0.00010
0,23115417,0.00000,0.00000,0,0,-0.00050
0,23117997,0.00000,0.00000,0.00000,0,0.00000
0,23120801,0.00000,0.00000,0.00000,0,0.00000
0,23123601,0.00000,0.00000,0.00000,0,-0.00300
0,23126465,0.00000,0.00000,0.00000,0,-0.00020
0,23129329,0.00000,0.00000,0.00000,0,-0.00010
0,23132193,0.00000,0.00000,0.00000,0,0.00380
0,23135009,0.00000,0.00000,0.00000,0,-0.00040
0,23137873,0.00000,0.00000,0.00000,0,-0.00020
0,23140737,0.00000,0.00000,0.00000,0,-0.00190
0,23143601,0.00000,0.00000,0.00000,0,-0.00060
0,23146465,0.00000,0.00000,0.00000,1,0.00010
0,23149285,0.00000,0.00000,0.00000,1,0.00090
0,23152101,0.00000,0.00000,0.00000,1,0.00000
0,23154901,0.00000,0.00000,0.00000,1,0.00030
0,23157717,0.00000,0.00000,0.00000,1,-0.00080
0,23160581,0.00000,0.00000,0.00000,2,0.00030
0,23163401,0.00000,0.00000,0.00000,2,0.00070
0,23166221,0.00000,0.00000,0.00000,2,0.00050
0,23169041,0.00000,0.00000,0.00000,3,0.00100
0,23171861,0.00000,0.00000,0.00000,3,0.00060
0,23174681,0.00000,0.00000,0.00000,3,0.00050
0,23177501,0.00000,0.00000,0.00000,4,0.00120
0,23180321,0.00000,0.00000,0.00000,4,0.00110
0,23183141,0.00000,0.00000,0.00000,4,0.00120
0,23185961,0.00000,0.00000,0.00000,5,0.00180
0,23188785,0.00000,0.00000,0.00000,5,0.00180
0,23191605,0.00000,0.00000,0.00000,5,0.00260
0,23194425,0.00000,0.00000,0.00000,6,0.00240
0,23197249,0.00000,0.00000,0.00000,6,0.00290
0,23200069,0.00000,0.00000,0.00000,7,0.00320
0,23202889,0.00000,0.00000,0.00000,7,0.00360
0,23205709,0.00000,0.00000,0.00000,8,0.00370
0,23208533,0.00000,0.00000,0.00000,8,0.00460
0,23211353,0.00000,0.00000,0.00000,9,0.00500
0,23214177,0.00000,0.00000,0.00000,9,0.00630
0,23217002,0.00000,0.00000,0.00000,10,0.00570
0,23219865,0.00000,0.00000,0.00000,10,0.00750
0,23222725,0.00000,0.00000,0.00000,11,0.00800
0,23225585,0.00000,0.00000,0.00000,11,0.00880
0,23228445,0.00000,0.00000,0.00000,12,0.00920
0,23231313,0.00000,0.00000,0.00000,13,0.01060
0,23234177,0.00000,0.00000,0.00000,13,0.01210
0,23237045,0.00000,0.00000,0.00000,14,0.01000
0,23239905,0.00000,0.00000,0.00000,15,0.01360
0,23242765,0.00000,0.00000,0.00000,15,0.01540
0,23245629,0.00000,0.00000,0.00000,16,0.01960
0,23248489,0.00000,0.00000,0.00000,17,0.01750
0,23251353,0.00000,0.00000,0.00000,17,0.01890
0,23254213,0.00000,0.00000,0.00000,18,0.02050
0,23257077,0.00000,0.00000,0.00000,19,0.02170
0,23259941,0.00000,0.00000,0.00000,19,0.02320
0,23262801,0.00532,1.86174,650.95807,20,0.02460
0,23265797,0.00532,0.00000,-621.40857,21,0.02550
0,23268821,0.00532,0.00000,0.00000,22,0.02740
0,23271701,0.00532,0.00000,0.00000,22,0.02930
0,23274581,0.00532,0.00000,0.00000,23,0.03150
0,23277457,0.00532,0.00000,0.00000,24,0.03290
0,23280337,0.01065,1.84881,641.94830,25,0.03440
0,23283333,0.01065,0.00000,-617.29919,25,0.03660
0,23286361,0.01597,1.75845,580.72870,26,0.03630
0,23289361,0.01597,0.00000,-586.14880,27,0.04230
0,23292393,0.01597,0.00000,0.00000,28,0.04460
0,23295273,0.01597,0.00000,0.00000,29,0.04840
0,23298153,0.02130,1.85010,642.84082,30,0.04800
0,23301157,0.02662,1.77250,-25.83218,31,0.04900
0,23304161,0.02662,0.00000,-590.04523,31,0.05220
0,23307189,0.03195,1.75729,579.96210,32,0.05510
0,23310189,0.03727,1.77486,5.85822,33,0.05580
0,23313097,0.03727,0.00000,-610.33698,34,0.05910
0,23316129,0.04260,1.75845,580.72827,35,0.06180
0,23319129,0.04792,1.77486,5.47155,36,0.06550
0,23322041,0.04792,0.00000,-608.66248,37,0.06790
0,23325069,0.05857,3.51689,1161.45740,38,0.06750
0,23328109,0.05857,0.00000,-1156.87268,39,0.07060
0,23331181,0.06922,3.46539,1127.69031,40,0.07320
0,23334217,0.07454,1.75439,-563.75635,40,0.07200
0,23337257,0.07987,1.75150,-0.95003,41,0.07640
0,23340213,0.08519,1.80128,16.83771,42,0.08230
0,23343173,0.09584,3.59890,607.51221,43,0.08840
0,23346173,0.10117,1.77604,-608.02570,44,0.08450
0,23349217,0.11182,3.49496,564.13416,45,0.08590
0,23352217,0.11714,1.77486,-573.36688,46,0.09070
0,23355257,0.12247,1.75150,-7.68288,47,0.09650
0,23358213,0.13311,3.60256,626.20215,48,0.09730
0,23361213,0.14376,3.54971,-17.61421,49,0.09800
0,23364209,0.15441,3.55446,1.58354,50,0.09650
0,23367121,0.16506,3.65699,35.20858,51,0.10170
0,23370077,0.17571,3.60256,-18.41308,52,0.10680
0,23373073,0.18636,3.55445,-16.05585,53,0.10440
0,23376069,0.19701,3.55446,0.00167,54,0.10580
0,23378981,0.20766,3.65699,35.20858,54,0.11610
0,23381937,0.21831,3.60256,-18.41308,55,0.11520
0,23384941,0.22896,3.54499,-19.16420,56,0.11230
0,23387945,0.24493,5.31749,590.04626,57,0.12190
0,23390949,0.26090,5.31748,-0.00159,58,0.11520
0,23393909,0.27155,3.59768,-581.01294,59,0.11750
0,23396953,0.28753,5.24762,542.02795,60,0.12860
0,23399953,0.30350,5.32457,25.65161,61,0.12510
0,23402913,0.31415,3.59769,-583.40472,62,0.12590
0,23405961,0.33545,6.99222,1114.41956,63,0.13420
0,23409002,0.34610,3.50071,-1147.76501,64,0.12740
0,23412089,0.36207,5.17116,540.77252,65,0.13380
0,23415085,0.37804,5.33346,54.19035,66,0.13420
0,23418037,0.39934,7.21488,637.33636,66,0.13450
0,23421037,0.41532,5.32457,-630.10199,67,0.14020
0,23424077,0.43129,5.25279,-23.60352,68,0.13780
0,23427077,0.44726,5.32635,24.52619,69,0.14630
0,23430033,0.46324,5.40384,26.21475,70,0.13680
0,23432989,0.48454,7.20510,609.35938,71,0.14900
0,23435989,0.50583,7.09944,-35.22174,72,0.14560
0,23438997,0.52713,7.08055,-6.28036,72,0.15920
0,23441957,0.54311,5.39652,-568.92987,73,0.14200
0,23445005,0.56441,6.98765,522.02484,74,0.15470
0,23448005,0.58570,7.09943,37.26069,75,0.14870
0,23450961,0.60700,7.20510,35.74940,76,0.17080
0,23453921,0.62830,7.20269,-0.81725,76,0.15230
0,23456881,0.64960,7.19294,-3.29293,77,0.16540
0,23459849,0.67090,7.17597,-5.71578,78,0.15400
0,23462805,0.69219,7.20025,8.20827,79,0.16180
0,23465717,0.71349,7.31397,39.05201,80,0.16590
0,23468677,0.73479,7.20510,-36.82954,80,0.15840
0,23471673,0.76141,8.87430,556.39746,81,0.17140
0,23474677,0.78271,7.08998,-593.98163,82,0.16010
0,23477721,0.80401,6.99683,-30.60013,82,0.18160
0,23480721,0.83063,8.87428,625.81586,83,0.16670
0,23483721,0.85726,8.87430,0.00668,84,0.16000
0,23486629,0.87856,7.32405,-533.09607,85,0.17800
0,23489673,0.91050,10.49522,1041.77454,85,0.16480
0,23492761,0.93180,6.89711,-1165.18823,86,0.16050
0,23495853,0.95842,8.61302,555.12836,87,0.18980
0,23498857,0.98505,8.86250,83.05062,87,0.17780
0,23501821,1.01699,10.77847,646.41229,88,0.16410
0,23504865,1.03829,6.99455,-1242.66492,88,0.16840
0,23507961,1.07024,10.31896,1073.77441,89,0.18580
0,23511049,1.10219,10.35571,11.91428,90,0.16820
0,23514049,1.12349,7.09234,-1086.70520,90,0.17890
0,23517149,1.15543,10.31563,1040.77783,91,0.18730
0,23520241,1.18738,10.32563,3.23275,91,0.17720
0,23523205,1.21400,8.97901,-454.17059,92,0.16760
0,23526253,1.24063,8.73741,-79.29144,92,0.17770
0,23529261,1.27257,10.61735,624.77234,93,0.19780
0,23532309,1.30452,10.48142,-44.59616,93,0.18560
0,23535361,1.33647,10.46772,-4.48839,94,0.17060
0,23538369,1.36842,10.61727,49.70041,94,0.16980
0,23541377,1.40036,10.62084,1.18670,95,0.17520
0,23544341,1.42699,8.98511,-552.05157,95,0.19780
0,23547389,1.45893,10.48146,490.92795,95,0.19400
0,23550438,1.49088,10.48486,1.11612,96,0.17030
0,23553401,1.52283,10.78943,102.85866,96,0.16920
0,23556449,1.55478,10.46768,-105.42007,96,0.17550
0,23559541,1.59205,12.05826,514.58429,97,0.18510
0,23562585,1.62400,10.49523,-513.47906,97,0.19040
0,23565673,1.65594,10.33896,-50.57560,97,0.18110
0,23568725,1.69322,12.22437,618.37036,98,0.17670
0,23571769,1.72516,10.48490,-570.87817,98,0.17290
0,23574857,1.76243,12.06998,513.30225,98,0.16850
0,23577901,1.79438,10.49516,-517.35297,98,0.16180
0,23580997,1.83165,12.04657,501.42740,98,0.16870
0,23584037,1.86893,12.25250,67.69363,99,0.17410
0,23587033,1.90087,10.66334,-530.42529,99,0.17740
0,23590121,1.93815,12.07780,458.34714,99,0.18800
0,23593169,1.97542,12.22838,49.40177,99,0.19140
0,23596173,2.00737,10.63494,-530.43719,99,0.19460
0,23599261,2.04464,12.06213,461.87158,99,0.18880
0,23602309,2.08191,12.24449,59.90729,99,0.16680
0,23605305,2.11918,12.42399,59.83543,99,0.16610
0,23608305,2.15645,12.42399,0.00000,99,0.16550
0,23611245,2.18840,10.86645,-529.77484,99,0.15940
0,23614333,2.23100,13.79431,948.13849,99,0.15790
0,23617377,2.26827,12.24441,-509.16498,99,0.15490
0,23620465,2.30554,12.07385,-55.25009,99,0.16100
0,23623513,2.34281,12.22834,50.68523,99,0.15670
0,23626509,2.38009,12.44066,70.86794,99,0.15530
0,23629517,2.42268,14.16102,571.92719,99,0.15440
0,23632561,2.45995,12.24449,-629.60931,99,0.15260
0,23635649,2.49723,12.06603,-57.77031,99,0.15080
0,23638693,2.53982,13.99830,634.98663,99,0.16380
0,23641737,2.57709,12.24031,-577.33630,99,0.15960
0,23644833,2.61437,12.03883,-65.07749,99,0.14760
0,23647877,2.65696,13.99362,642.17841,98,0.15140
0,23650917,2.69956,14.01664,7.57573,98,0.14510
0,23653873,2.73683,12.60466,-477.50543,98,0.14050
0,23656965,2.77410,12.05440,-177.96112,98,0.14270
0,23660053,2.81670,13.79415,563.38989,97,0.13580
0,23663097,2.85930,13.99830,67.08721,97,0.13750
0,23666101,2.89657,12.40332,-530.77478,97,0.14260
0,23669189,2.93917,13.80317,453.61307,96,0.14350
0,23672241,2.97644,12.21231,-521.25049,96,0.14780
0,23675329,3.01903,13.79431,512.30347,96,0.14700
0,23678377,3.06163,13.97526,59.36685,95,0.15030
0,23681385,3.10423,14.16110,61.78212,95,0.15670
0,23684389,3.14682,14.17995,6.27698,95,0.13670
0,23687353,3.18410,12.57489,-541.51874,94,0.13990
0,23690445,3.22669,13.77646,388.60593,94,0.14680
0,23693497,3.26929,13.95694,59.13468,93,0.14810
0,23696509,3.30656,12.37442,-525.40649,93,0.14970
0,23699605,3.34916,13.75414,445.50415,92,0.13940
0,23702653,3.39176,13.97533,72.56967,92,0.12230
0,23705653,3.43435,14.20359,76.11205,91,0.11190
0,23708657,3.47695,14.18003,-7.84369,91,0.10730
0,23711661,3.51955,14.17995,-0.02635,90,0.10370
0,23714665,3.55682,12.40737,-590.07422,90,0.11090
0,23717761,3.60474,15.46842,988.07458,89,0.11440
0,23720809,3.64201,12.23645,-1061.05664,88,0.12260
0,23723949,3.68993,15.25181,959.69507,88,0.12690
0,23727002,3.73253,13.95694,-424.26883,87,0.12200
0,23730097,3.77512,13.77646,-58.36968,87,0.11410
0,23733153,3.81772,13.92948,50.03796,86,0.12240
0,23736169,3.85499,12.36218,-519.83252,85,0.12120
0,23739261,3.89759,13.76748,454.20050,85,0.10970
0,23742309,3.94019,13.97533,68.19428,84,0.09530
0,23745305,3.98278,14.21782,80.93531,83,0.08580
0,23748309,4.02538,14.18940,-9.46590,83,0.07580
0,23751317,4.06265,12.38272,-600.22705,82,0.07360
0,23754405,4.10525,13.79415,457.07095,81,0.07310
0,23757445,4.14784,14.01211,71.69717,80,0.07990
0,23760445,4.19044,14.19894,62.27620,80,0.08520
0,23763445,4.23304,14.19894,0.00000,79,0.09220
0,23766393,4.27563,14.44923,84.90289,78,0.07110
0,23769393,4.31823,14.19894,-83.43124,77,0.07510
0,23772437,4.36083,14.00735,-63.00334,76,0.07910
0,23775481,4.39810,12.23235,-582.53821,76,0.08630
0,23778573,4.44070,13.77646,499.38821,75,0.08280
0,23781617,4.48329,13.99354,71.31441,74,0.07920
0,23784613,4.52057,12.44074,-518.29205,73,0.07060
0,23787701,4.56316,13.79415,438.28128,72,0.05420
0,23790741,4.60576,14.01195,71.64541,71,0.04720
0,23793745,4.64836,14.19421,60.73103,71,0.04490
0,23796751,4.68563,12.39507,-598.31628,70,0.03660
0,23799841,4.72822,13.78984,451.52820,69,0.03610
0,23802881,4.76550,12.24843,-506.54242,68,0.03890
0,23805969,4.80809,13.79431,500.60675,67,0.03840
0,23809009,4.85069,14.01195,71.59459,66,0.03290
0,23812009,4.88796,12.42399,-529.32037,65,0.02740
0,23815105,4.93056,13.76756,434.24792,64,0.02440
0,23818149,4.96783,12.24843,-499.21890,63,0.02260
0,23821233,5.01043,13.79877,502.21658,63,0.02400
0,23824281,5.04770,12.23235,-514.08679,62,0.02150
0,23827369,5.08497,12.06994,-52.59446,61,0.01830
0,23830413,5.12757,13.98895,630.21527,60,0.01800
0,23833457,5.16484,12.24843,-571.97302,59,0.01550
0,23836549,5.20211,12.05043,-64.01674,58,0.01520
0,23839593,5.23938,12.24457,63.77682,57,0.01520
0,23842601,5.27666,12.39095,48.66497,56,0.01080
0,23845601,5.31393,12.42399,11.01430,55,0.01040
0,23848601,5.35120,12.42399,0.00000,54,0.01140
0,23851541,5.38315,10.86637,-529.80243,53,0.02130
0,23854629,5.42574,13.79431,948.16473,52,0.02290
0,23857669,5.45769,10.50908,-1080.66541,51,0.02300
0,23860805,5.49496,11.88899,440.16132,50,0.02160
